EstSize_7,ActSize_7,ActEffort_7,EstDef_7,ActDef_7,EstSize_8,ActSize_8,ActEffort_8,EstDef_8,ActDef_8,EstSize_9,ActSize_9,ActEffort_9,EstDef_9,ActDef_9,EstSize_10,ActSize_10,ActEffort_10,EstDef_10,ActDef_10
31,34,103,5,3,25,29,90,3,1,111,110,219,7,7,77,84,249,5,4
88,54,85,10,7,41,49,46,6,3,85,55,102,8,2,95,138,156,7,5
102,72,93,4,4,31,35,65,2,1,142,134,170,6,5,65,66,101,3,3
76,38,88,8,3,23,24,51,3,5,106,124,150,14,6,73,85,112,8,2
80,50,132,7,6,27,37,31,3,1,70,67,128,6,2,154,166,194,9,6
30,29,213,4,4,16,23,81,3,1,79,95,275,8,4,102,114,343,6,5
47,42,196,6,8,35,32,91,7,1,97,74,323,11,7,149,158,436,16,4
80,71,187,6,6,41,42,109,4,3,85,55,96,9,2,89,79,214,8,5
46,32,115,5,4,43,33,84,5,1,54,46,103,4,4,98,85,159,8,8
45,66,86,3,3,20,20,61,1,1,80,80,106,4,2,127,128,359,5,4
41,40,149,7,3,13,26,79,1,2,78,70,285,6,5,141,149,460,10,7
42,55,269,4,7,31,22,69,4,1,60,92,323,6,6,123,111,243,10,5
32,32,134,4,4,28,22,87,4,2,77,83,175,8,5,101,99,232,8,11
44,34,134,4,2,18,23,75,1,1,74,80,188,4,3,102,99,233,5,11
75,72,192,17,4,20,24,77,1,1,108,127,440,5,4,75,84,169,3,2
88,92,212,6,5,40,49,130,2,2,164,168,310,8,1,151,161,324,5,5
57,54,128,12,3,29,27,66,2,3,68,109,158,5,2,83,101,157,4,2
79,134,306,5,8,60,67,87,3,1,106,47,182,6,3,157,171,255,8,6
113,171,136,7,3,84,46,45,2,1,189,236,170,4,4,211,259,189,3,3
69,55,102,4,5,63,39,72,2,2,52,124,162,5,5,72,98,296,4,5
116,100,146,6,4,19,34,59,1,1,27,87,120,1,5,109,172,247,5,6
106,148,381,25,8,51,40,136,2,5,238,174,606,17,22,257,237,524,25,27
50,71,216,5,6,52,37,146,5,5,117,137,241,12,6,230,163,325,16,6
31,57,88,2,3,18,31,44,1,1,94,137,163,4,3,148,119,202,5,5
47,50,132,3,3,6,24,45,0,1,81,104,207,4,9,113,105,155,9,5
24,25,83,2,3,29,28,44,3,0,83,96,113,5,1,147,123,173,4,3
94,62,149,4,5,39,49,70,3,1,85,132,171,5,3,153,246,212,6,4
37,62,99,4,0,41,36,57,0,2,87,106,181,2,7,124,167,250,5,6
44,59,161,6,3,28,40,86,1,3,88,131,314,6,10,119,141,358,9,8
48,58,145,6,6,23,32,56,2,4,69,85,222,9,10,99,132,207,13,9
